species,FirstCap,target
Acanthurus tennentii,15.3,I
Anyperodon leucogrammicus,24.2,I
Calotomus carolinus,16,I
Cephalopholis argus,20.9,I
Cephalopholis miniata,21.4,I
Cetoscarus bicolor,17.3,I
Cheilinus fasciatus,19,I
Cheilinus trilobatus,17.7,I
Ctenochaetus striatus,13.8,I
Epinephelus fasciatus,22.3,I
Epinephelus merra,22.1,I
Leptoscarus vaigiensis,21.8,I
Lethrinus enigmaticus,16.7,I
Lethrinus harak,18.4,I
Lethrinus lentjan,16.7,I
Lethrinus mahsena,15.9,I
Lethrinus nebulosus,17.2,I
Lethrinus obsoletus,18.3,I
Lethrinus olivaceus,20.8,I
Lutjanus fulviflamma,20.2,I
Lutjanus gibbus,16.2,I
Lutjanus kasmira,18.5,I
Lutjanus rivulatus,16.1,I
Macolor niger,16.6,I
Monotaxis grandoculis,15.7,I
Mulloidichthys flavolineatus,25.5,I
Parupeneus barberinus,21.9,I
Parupeneus ciliatus,21.8,I
Parupeneus cyclostomus,22.7,I
Parupeneus macronemus,21.4,I
Parupeneus rubescens,20.2,I
Plectorhinchus orientalis,20.8,I
Plectorhinchus schotaf,18.7,I
Scarus caudofasciatus,17.2,I
Scarus falcipinnis,17.4,I
Scarus frenatus,19.1,I
Scarus globiceps,18.3,I
Scarus niger,17.6,I
Scarus prasiognathos,17.8,I
Scarus psittacus,19.4,I
Scarus scaber,19.4,I
Scarus tricolor,20.5,I
Scarus viridifucatus,17.5,I
Siganus argenteus,18.1,I
Siganus puelloides,16.4,I
Siganus stellatus,14.9,I
Acanthurus triostegus,,O
Cephalopholis urodeta,,O
Diagramma pictum,,O
Epinephelus hexagonatus,,O
Lethrinus rubrioperculatus,,O
Naso elegans,,O
Thalassoma hebraicum,,O
Acanthurus leucosternon,12.1,O
Acanthurus lineatus,14.1,O
Acanthurus nigrofuscus,15.1,O
Aethaloperca rogaa,17.3,O
Chlorurus atrilunula,18.4,O
Ctenochaetus binotatus,13.2,O
Epinephelus coeruleopunctatus,23.2,O
Hipposcarus harid,18.9,O
Scolopsis frenatus,20.7,O
Aprion virescens,25.5,P
Cephalopholis leopardus,20.1,P
Chlorurus sordidus,19.2,P
Lutjanus bohar,18.9,P
Scarus ghobban,16.7,P
Scarus rubroviolaceus,18.7,P
Siganus sutor,15.4,P
Amblyglyphidodon leucogaster,,
Anampses meleagrides,,
Apolemichthys trimaculatus,,
Bodianus axillaris,,
Cantherhines pardalis,,
Centropyge multispinis,,
Chaetodon auriga,,
Chaetodon guttatissimus,,
Chaetodon kleinii,,
Chaetodon lineolatus,,
Chaetodon lunula,,
Chaetodon melannotus,,
Chaetodon meyeri,,
Chaetodon trifascialis,,
Chaetodon trifasciatus,,
Chaetodon xanthocephalus,,
Chaetodon zanzibarensis,,
Chlorurus strongylocephalus,,
Chromis atripectoralis,,
Chromis ternatensis,,
Chromis weberi,,
Coris formosa,,
Ctenochaetus truncatus,,
Dascyllus trimaculatus,,
Epibulus insidiator,,
Epinephelus spilotoceps,,
Epinephelus tukula,,
Gomphosus caeruleus,,
Halichoeres cosmetus,,
Halichoeres hortulanus,,
Halichoeres marginatus,,
Halichoeres scapularis,,
Hemigymnus fasciatus,,
Hemigymnus melapterus,,
Labrichthys unilineatus,,
Labroides bicolor,,
Labroides dimidiatus,,
Lutjanus argentimaculatus,,
Lutjanus monostigma,,
Macropharyngodon bipartitus,,
Neoglyphidodon melas,,
Novaculichthys taeniourus,,
Oxycheilinus digramma,,
Oxymonacanthus longirostris,,
Paracanthurus hepatus,,
Parupeneus trifasciatus,,
Plectorhinchus gibbosus,,
Plectroglyphidodon dickii,,
Plectroglyphidodon johnstonianus,,
Plectroglyphidodon lacrymatus,,
Pomacanthus imperator,,
Pomacanthus semicirculatus,,
Pomacentrus trilineatus,,
Stegastes nigricans,,
Stethojulis albovittata,,
Sufflamen chrysopterum,,
Thalassoma hardwicke,,
Thalassoma lunare,,
Zanclus cornutus,,
Zebrasoma desjardinii,,
Zebrasoma scopas,,
